ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
608984,40,Adirondack,69,CRT,FED,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,165,11,18,2,90,90,,,,8,70,70,90,90,,90,90,80,90,70,,90,70,70,50,1,60,50,,60,40,20,100,100,90,,,2,,,,,,,,,,,,,,,,,2,,,,,,60,60,,60,70,,40,40,50,45.00
608985,40,Adirondack,69,CRT,WSP,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,237,11,19,4,80,90,,,,8,70,90,80,80,80,80,70,80,80,80,,80,80,80,80,1,50,50,80,70,60,60,80,80,100,,,1,80,100,80,70,90,,,,,,,,,,,,1,70,70,70,70,70,80,80,80,80,90,,90,90,100,95.00
608986,40,Adirondack,68,FED,NYP,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,197,58,51,1,90,,,,,2,100,100,,,80,90,80,70,80,90,,90,80,80,80,1,20,20,80,90,80,70,80,90,90,,,1,80,100,80,80,90,,,,,,,,,,,,2,,,,,,70,,,70,90,,80,90,90,90.00
608987,40,Adirondack,68,MTR,NYP,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,0,51,2,90,90,,,,8,80,90,90,90,90,90,90,90,90,90,,90,90,50,80,1,30,60,90,90,90,70,90,90,,,,1,90,90,90,70,90,,,,,,,,,,,,1,0,0,0,0,0,90,,,90,70,,70,70,70,70.00
608988,40,Adirondack,68,MTR,NYP,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,0,51,4,90,100,,,,8,70,80,70,70,80,70,90,90,80,20,,10,0,20,70,1,30,20,10,0,0,10,10,30,30,,,1,70,80,50,50,70,,,,,,,,,,,,1,0,0,0,0,0,70,30,40,50,20,,50,20,40,30.00
608989,40,Adirondack,69,NYP,MTR,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,13,36,2,100,100,,,,8,100,100,90,90,90,90,90,90,90,60,,0,0,0,100,1,0,0,70,0,0,0,70,70,70,,,2,,,,,,,,,,,,,,,,,1,0,0,0,0,0,10,90,90,90,0,,0,0,0,0.00
608990,40,Adirondack,69,NYP,MTR,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,13,36,1,,20,,,,8,80,80,20,10,60,10,30,70,10,90,,90,0,80,100,1,10,40,80,20,30,10,90,50,100,,,1,60,80,60,20,40,,,,,,,,,,,,1,20,90,10,10,10,100,,,100,20,,30,20,0,10.00
608991,40,Adirondack,69,NYP,MTR,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,13,36,1,80,90,,,,9,80,80,80,80,80,80,80,80,80,70,,70,50,70,70,1,60,60,70,70,70,70,70,70,70,,,1,50,60,60,50,60,,,,,,,,,,,,1,40,50,40,30,30,60,60,60,60,60,,60,60,60,60.00
608992,40,Adirondack,69,NYP,MTR,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,13,36,2,100,100,,,,8,70,90,80,80,90,90,90,90,90,100,,100,70,80,80,1,80,60,80,90,80,70,90,90,100,,,1,60,70,70,70,70,,,,,,,,,,,,1,40,80,40,0,40,80,,,80,80,,80,80,80,80.00
608993,40,Adirondack,69,NYP,MTR,C,40C,40A,SC,12/26/2017,201712,2018,,SDWF,1,51,381,13,36,2,40,40,,,,8,90,90,30,40,40,40,70,60,50,80,,100,60,90,100,1,70,70,80,,70,80,100,100,80,,,1,80,100,80,20,50,,,,,,,,,,,,1,30,30,20,40,20,80,80,80,80,80,,80,80,80,80.00
