ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
91672,3,Ethan Allen,291,NYP,RUD,B,03B,03A,SC,10/5/2014,201410,2015,B4045A,SDWF,1,66,241,2,-12,4,80,100,2,NULL,NULL,NULL,NULL,NULL,80,50,100,90,80,100,100,100,NULL,100,100,100,100,1,60,10,0,100,100,100,100,NULL,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100.00
91673,3,Ethan Allen,291,NYP,RUD,B,03B,03A,SC,10/7/2014,201410,2015,6D5795,SDWF,1,66,241,5,-4,1,90,100,1,100,NULL,NULL,NULL,NULL,60,40,50,70,40,40,60,60,NULL,80,80,80,70,1,80,80,80,20,20,50,10,NULL,30,NULL,NULL,1,10,10,30,30,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,40,40,30,NULL,NULL,50,50,50,50.00
91674,3,Ethan Allen,291,NYP,RUD,B,03B,03A,SC,10/9/2014,201410,2015,55BC02,SDWF,1,66,241,0,-14,1,100,30,2,NULL,NULL,NULL,NULL,NULL,100,100,100,70,100,100,100,100,NULL,90,100,100,100,2,NULL,NULL,80,100,40,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,50,50,50,NULL,NULL,100,100,100,100.00
91675,3,Ethan Allen,291,NYP,SDY,B,03B,03A,SC,10/19/2014,201410,2015,9FC87E,SDWF,1,66,159,3,0,4,70,70,2,NULL,NULL,NULL,NULL,NULL,100,100,10,0,70,70,20,80,NULL,80,80,80,50,2,NULL,NULL,100,100,100,90,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,30,10,10,10,20,0,10,20,NULL,NULL,20,20,50,35.00
91676,3,Ethan Allen,290,RUD,NYP,B,03B,03A,SC,10/20/2014,201410,2015,A8F255,SDWF,1,66,241,0,-5,2,100,100,2,NULL,NULL,NULL,NULL,NULL,80,80,100,100,100,100,100,80,NULL,80,90,90,60,1,0,0,70,90,90,30,50,NULL,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,60,80,70,70,40,80,80,80,80,NULL,NULL,80,80,90,85.00
91677,3,Ethan Allen,290,RUD,NYP,B,03B,03A,SC,10/29/2014,201410,2015,C4E90A,SDWF,1,66,241,0,184,2,50,80,2,NULL,NULL,NULL,NULL,NULL,NULL,80,90,100,100,100,100,50,NULL,80,80,90,90,1,80,70,20,0,70,0,50,NULL,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,80,80,80,30,20,30,10,NULL,NULL,80,60,80,70.00
91678,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/3/2014,201410,2015,AB806C,SDWF,1,66,178,14,17,2,100,100,2,NULL,NULL,NULL,NULL,NULL,90,90,100,100,90,90,90,100,NULL,100,100,100,90,1,90,90,100,100,100,100,100,NULL,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,90,100,90,100,100,100,NULL,NULL,90,100,100,100.00
91679,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/7/2014,201410,2015,35F8B8,SDWF,1,66,178,2,19,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,60,70,80,90,100,NULL,100,NULL,NULL,1,100,90,100,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,90,NULL,NULL,40,NULL,NULL,90,100,100,100.00
91680,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/9/2014,201410,2015,9FC4A2,SDWF,1,66,178,9,15,2,80,80,2,NULL,NULL,NULL,NULL,NULL,80,50,50,60,80,30,50,80,NULL,90,90,90,100,1,0,0,80,80,10,0,20,NULL,30,NULL,NULL,1,50,80,50,20,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,80,80,80,40,0,0,0,NULL,NULL,70,70,50,60.00
91681,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/23/2014,201410,2015,A11676,SDWF,1,66,178,1,25,1,70,90,2,NULL,NULL,NULL,NULL,NULL,60,60,70,70,100,100,90,90,NULL,80,90,90,90,1,80,80,50,10,20,20,50,NULL,40,NULL,NULL,1,40,90,80,50,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,80,70,70,70,NULL,NULL,70,70,80,75.00
