ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
609265,3,Ethan Allen,290,CNV,NYP,C,03C,03A,SC,12/27/2017,201712,2018,,SDWF,1,76,232,3,25,2,100,100,NULL,NULL,NULL,8,80,80,80,80,100,100,100,100,100,80,NULL,90,80,90,90,2,NULL,NULL,90,90,90,90,90,90,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,70,80,80,50,90,NULL,80,90,90,90
609266,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,12/27/2017,201712,2018,,SDWF,1,76,178,0,24,1,90,80,NULL,NULL,NULL,8,70,70,50,50,70,80,70,70,70,70,NULL,70,80,80,70,1,70,60,80,80,80,50,70,80,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,30,10,20,10,80,NULL,NULL,90,70,NULL,60,80,80,80
609267,3,Ethan Allen,291,POU,CNV,C,03C,03A,SC,12/27/2017,201712,2018,,SDWF,1,76,160,0,13,4,100,100,NULL,NULL,NULL,8,80,100,30,30,80,50,90,90,70,80,NULL,100,70,60,90,1,80,80,90,50,50,70,50,90,100,NULL,NULL,1,80,100,90,70,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,30,30,40,10,30,100,70,50,90,70,NULL,80,80,100,90
609268,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,12/27/2017,201712,2018,,SDWF,1,76,241,0,25,4,80,100,NULL,NULL,NULL,8,80,90,50,50,80,80,90,80,80,70,NULL,80,80,80,80,1,70,50,80,80,80,90,80,90,100,NULL,NULL,1,80,100,80,70,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,40,0,0,0,80,NULL,90,80,100,90
609269,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,12/27/2017,201712,2018,,SDWF,1,76,241,0,25,2,100,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,100,NULL,100,0,100,100,1,100,100,100,100,100,100,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,90,50,50,50,80,80,80,80,80,NULL,80,80,80,80
609270,3,Ethan Allen,290,SAR,NYP,C,03C,03A,SC,12/27/2017,201712,2018,,SDWF,1,76,178,31,25,4,60,90,NULL,NULL,NULL,8,40,40,100,100,100,30,100,10,60,90,NULL,90,20,80,70,2,NULL,NULL,70,90,100,60,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,80,20,20,20,80,80,80,80,90,NULL,60,80,100,90
609949,3,Ethan Allen,291,NYP,FED,C,03C,03A,SC,12/28/2017,201712,2018,,SDWF,1,76,197,0,17,2,30,70,NULL,NULL,NULL,8,70,70,60,60,60,60,60,60,60,60,NULL,60,60,60,60,2,NULL,NULL,60,60,60,60,60,60,60,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,40,40,40,40,40,0,0,0,0,50,NULL,50,50,50,50
609950,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,12/28/2017,201712,2018,,SDWF,1,76,241,0,-5,1,100,80,NULL,NULL,NULL,8,70,80,80,80,80,80,70,80,60,70,NULL,80,80,70,70,1,70,60,80,80,60,90,80,90,80,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,60,70,60,60,50,80,NULL,NULL,80,80,NULL,70,80,70,75
609951,3,Ethan Allen,290,SDY,NYP,C,03C,03A,SC,12/28/2017,201712,2018,,SDWF,1,76,159,4,-5,1,90,100,NULL,NULL,NULL,8,100,90,80,90,80,70,60,90,70,60,NULL,80,90,70,80,1,50,50,80,90,90,90,80,100,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,100,90,80,70,NULL,80,80,100,90
610733,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,12/29/2017,201712,2018,,SDWF,1,76,241,0,44,4,0,50,NULL,NULL,NULL,8,90,90,0,0,50,50,80,70,0,70,NULL,70,70,70,NULL,2,NULL,NULL,10,30,10,0,30,30,30,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,80,0,0,50,60,NULL,0,0,0,0
